iter	RMSE
920	2609424.388
921	2603765.874
922	2602690.158
923	2595616.876
924	2590306.688
925	2585300.872
926	2580944.815
927	2574666.823
928	2572693.631
929	2567186.615
930	2563902.238
931	2560180.659
932	2555361.053
933	2552176.45
934	2548257.123
935	2547114.624
936	2544973.941
937	2542815.368
938	2537682.479
939	2536280.379
940	2533477.928
941	2530965.736
942	2526380.998
943	2524455.952
944	2520211.091
945	2517523.972
946	2515950.493
947	2513826.991
948	2510883.722
949	2508035.648
950	2505412.502
951	2500978.258
952	2497738.532
953	2496337.243
954	2491947.275
955	2488222.407
956	2486276.473
957	2485039.423
958	2481854.061
959	2480094.281
960	2474687.845
961	2471728.648
962	2468899.669
963	2466037.677
964	2458413.456
965	2455791.255
966	2454614.822
967	2449300.086
968	2445545.193
969	2442615.15
970	2440118.59
971	2436927.71
972	2433348.045
973	2432444.512
974	2428406.781
975	2423718.029
976	2422019.244
977	2418592.929
978	2417672.124
979	2416445.025
980	2412721.083
981	2409749.623
982	2406528.043
983	2404473.047
984	2402285.557
985	2400376.288
986	2396810.477
987	2389872.775
988	2383661.884
989	2382570.652
990	2380417.994
991	2378141.679
992	2376595.572
993	2374186.229
994	2373133.807
995	2371730.961
996	2370728.626
997	2364803.442
998	2361869.681
999	2359825.54
